time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
191.000,3,1,0,2,39.65,22.00,25.00,0,location
191.000,11,1,0,2,37.41,22.00,25.00,0,location
192.000,9,1,0,2,33.23,22.00,25.00,1,location
192.000,11,1,0,2,36.23,22.00,25.00,0,location
192.000,25,1,0,2,55.55,25.00,28.00,1,location
193.000,24,1,0,2,36.44,18.00,21.00,0,location
194.000,3,1,0,2,38.57,22.00,25.00,0,location
194.000,26,1,0,2,45.28,25.00,28.00,1,location
195.000,38,37,0,38,32.83,18.00,21.00,0,location
195.000,43,1,0,2,34.80,22.00,25.00,1,location
196.000,11,1,0,2,35.20,22.00,25.00,0,location
196.000,40,1,0,2,38.56,22.00,25.00,1,location
197.000,11,1,0,2,38.23,22.00,25.00,0,location
197.000,20,1,0,2,36.62,22.00,25.00,1,location
197.000,26,37,0,38,41.96,22.00,25.00,0,location
198.000,20,37,0,38,33.91,22.00,25.00,1,location
198.000,24,1,0,2,34.42,22.00,25.00,0,location
199.000,3,1,0,2,35.61,22.00,25.00,0,location
199.000,11,1,0,2,35.94,22.00,25.00,1,location
199.000,20,1,0,2,41.85,22.00,25.00,0,location
199.000,24,1,0,2,28.95,22.00,25.00,0,location
200.000,20,1,0,2,40.21,22.00,25.00,0,location
200.000,24,1,0,2,33.19,22.00,25.00,0,location
201.000,10,1,0,2,54.87,25.00,28.00,1,location
201.000,20,1,0,2,39.48,22.00,25.00,0,location
202.000,3,1,0,2,30.35,22.00,25.00,0,location
202.000,24,1,0,2,34.25,22.00,25.00,0,location
203.000,3,1,0,2,28.80,22.00,25.00,0,location
203.000,11,37,0,38,37.67,22.00,25.00,0,location
203.000,24,1,0,2,32.42,22.00,25.00,0,location
203.000,25,37,0,38,56.82,25.00,28.00,1,location
204.000,11,37,0,38,48.90,22.00,25.00,0,location
204.000,24,1,0,2,37.44,22.00,25.00,0,location
205.000,11,37,0,38,35.95,22.00,25.00,0,location
205.000,20,1,0,2,35.95,22.00,25.00,0,location
206.000,3,1,0,2,36.93,22.00,25.00,0,location
206.000,18,1,0,2,32.83,22.00,25.00,0,location
206.000,20,1,0,2,31.92,22.00,25.00,0,location
206.000,24,1,0,2,33.43,22.00,25.00,0,location
207.000,11,37,0,38,40.11,22.00,25.00,1,location
207.000,18,1,0,2,42.09,22.00,25.00,0,location
207.000,24,1,0,2,33.38,22.00,25.00,0,location
207.000,25,1,0,2,54.24,25.00,28.00,1,location
207.000,26,37,0,38,40.01,22.00,25.00,0,location
207.000,38,37,0,38,40.25,22.00,25.00,0,location
208.000,10,37,0,38,54.80,25.00,28.00,1,location
208.000,18,1,0,2,30.72,22.00,25.00,0,location
208.000,20,1,0,2,35.70,22.00,25.00,0,location
209.000,3,1,0,2,36.56,22.00,25.00,0,location
209.000,11,1,0,2,37.94,22.00,25.00,0,location
